position accuracy,pose accuracy,position loss,pose loss,loss, running_loss
0.002,0.073,0.999,4.24,5.239,5.204327346
0.001,0.076,0.82,4.414,0.872,5.232
0,0,1.392,5.973,1.227,7.362
0,0.097,0.83,4.287,5.117,5.122812852
0,0.082,0.829,4.456,0.881,5.286
0,0,1.626,6.026,1.275,7.65
0,0.077,0.762,4.366,5.128,5.099040152
0,0.083,0.859,4.401,0.877,5.262
0,0,2.023,5.993,1.336,8.016
0,0.07,0.803,4.64,5.443,5.093316179
0.001,0.082,0.841,4.421,0.877,5.262
0,0,2.195,5.996,1.365,8.19
0,0.073,0.771,4.336,5.107,5.091247714
0.001,0.083,0.927,4.461,0.898,5.388
0,0,2.014,6.007,1.337,8.022
0,0.095,0.745,4.22,4.964,5.089609444
0.001,0.079,0.811,4.417,0.871,5.226
0,0,1.464,6.007,1.245,7.47
0,0.075,0.757,4.325,5.082,5.090144327
0,0.078,0.859,4.411,0.878,5.268
0,0,1.784,6.016,1.3,7.8
0,0.098,0.719,4.338,5.056,5.087403272
0,0.086,0.784,4.439,0.871,5.226
0,0,1.738,5.994,1.289,7.734
0.002,0.085,0.737,4.503,5.24,5.087352597
0.001,0.089,0.844,4.448,0.882,5.292
0,0,1.377,6.024,1.234,7.404
0.002,0.088,0.794,4.149,4.943,5.088387094
0,0.082,0.937,4.388,0.888,5.328
0,0,1.377,5.985,1.227,7.362
0,0.072,0.752,4.447,5.199,5.089144087
0,0.084,0.916,4.435,0.892,5.352
0,0,1.367,6.02,1.231,7.386
0,0.075,0.768,4.51,5.277,5.087989907
0.001,0.085,0.896,4.455,0.892,5.352
0,0,1.743,6.034,1.296,7.776
0,0.088,0.787,4.511,5.298,5.088662249
0,0.084,0.873,4.427,0.883,5.298
0,0,1.721,6.027,1.291,7.746
0,0.073,0.756,3.986,4.742,5.088514758
0.001,0.082,0.902,4.386,0.881,5.286
0,0,2.16,6.001,1.36,8.16
0,0.067,0.786,4.434,5.22,5.087629687
0,0.086,0.882,4.434,0.886,5.316
0,0,1.599,6.033,1.272,7.632
0,0.082,0.737,4.494,5.231,5.087273362
0.001,0.077,0.889,4.423,0.885,5.31
0,0,1.782,5.974,1.293,7.758
0,0.09,0.745,4.344,5.089,5.088482595
0,0.079,0.814,4.422,0.873,5.238
0,0,1.32,6.044,1.227,7.362
0.003,0.068,0.789,4.318,5.107,5.088398766
0,0.084,0.85,4.375,0.871,5.226
0,0,1.643,5.993,1.273,7.638
0,0.083,0.748,4.058,4.807,5.088879355
0.001,0.083,0.809,4.419,0.871,5.226
0,0,1.846,5.994,1.307,7.842
0,0.073,0.735,4.346,5.082,5.086490083
0,0.08,0.872,4.401,0.879,5.274
0,0,2.096,6.046,1.357,8.142
0,0.087,0.764,4.145,4.909,5.087886415
0,0.082,0.806,4.415,0.87,5.22
0,0,1.748,6.025,1.296,7.776
0,0.085,0.75,4.327,5.077,5.087618193
0.001,0.082,0.894,4.439,0.889,5.334
0,0,1.728,6.036,1.294,7.764
0,0.067,0.772,4.384,5.156,5.084729857
0,0.084,0.828,4.426,0.876,5.256
0,0,1.625,5.987,1.269,7.614
0,0.078,0.754,4.395,5.149,5.084843728
0.001,0.086,0.937,4.462,0.9,5.4
0,0,2.211,6.002,1.369,8.214
0.002,0.1,0.724,4.208,4.932,5.085055161
0,0.082,0.826,4.422,0.875,5.25
0,0,1.616,6.012,1.271,7.626
0,0.075,0.8,4.111,4.912,5.087471637
0,0.084,0.997,4.406,0.901,5.406
0,0,2.2,6.006,1.368,8.208
0,0.062,0.73,4.157,4.888,5.086926299
0,0.081,0.897,4.47,0.894,5.364
0,0,2.149,5.992,1.357,8.142
0,0.077,0.809,4.423,5.232,5.085866606
0,0.082,0.9,4.483,0.897,5.382
0,0,1.646,5.991,1.273,7.638
0,0.055,0.8,3.985,4.785,5.085799008
0.001,0.083,0.9,4.439,0.89,5.34
0,0,1.837,5.993,1.305,7.83
0,0.087,0.752,4.513,5.266,5.087212135
0,0.083,0.878,4.429,0.884,5.304
0,0,1.557,6.001,1.26,7.56
0,0.088,0.748,4.485,5.233,5.087303308
0,0.075,0.995,4.427,0.904,5.424
0,0,1.855,6.018,1.312,7.872
0.002,0.073,0.753,4.564,5.317,5.087423096
0,0.081,0.891,4.414,0.884,5.304
0,0,1.857,5.979,1.306,7.836
0,0.077,0.764,4.337,5.101,5.086734785
0.001,0.084,0.838,4.425,0.877,5.262
0,0,1.83,5.991,1.304,7.824
0,0.08,0.727,4.296,5.024,5.085851819
0.001,0.084,0.864,4.442,0.884,5.304
0,0,1.739,6.014,1.292,7.752
0,0.072,0.734,4.282,5.016,5.087295483
0.001,0.086,0.923,4.404,0.888,5.328
0,0,2.01,5.997,1.334,8.004
0,0.055,0.745,4.367,5.112,5.086042784
0,0.086,0.869,4.419,0.881,5.286
0,0,1.939,6.001,1.323,7.938
0.002,0.073,0.783,4.16,4.943,5.085754839
0,0.086,0.922,4.466,0.898,5.388
0,0,2.041,6.008,1.341,8.046
0,0.075,0.748,4.256,5.004,5.084015436
0,0.087,0.791,4.427,0.87,5.22
0,0,1.791,5.998,1.298,7.788
0,0.09,0.79,4.42,5.21,5.087350936
0,0.084,0.895,4.399,0.882,5.292
0,0,2.165,6.015,1.363,8.178
0,0.075,0.8,4.502,5.302,5.083618531
0,0.082,0.916,4.402,0.886,5.316
0,0,2.097,6.02,1.353,8.118
0,0.077,0.762,4.025,4.787,5.087311839
0,0.08,0.92,4.448,0.895,5.37
0,0,2.215,5.984,1.367,8.202
0.002,0.108,0.784,4.019,4.802,5.086181189
0.001,0.082,0.913,4.421,0.889,5.334
0,0,1.518,6.049,1.261,7.566
0.002,0.062,0.768,4.344,5.112,5.085651187
0,0.082,0.886,4.432,0.886,5.316
0,0,2.114,6.013,1.355,8.13
0,0.093,0.736,4.368,5.105,5.085968132
0,0.083,0.889,4.441,0.888,5.328
0,0,1.918,5.998,1.319,7.914
0,0.07,0.775,4.354,5.129,5.085265604
0.001,0.083,0.84,4.415,0.876,5.256
0,0,1.73,6.016,1.291,7.746
0.002,0.072,0.745,4.239,4.984,5.086670295
0,0.085,0.901,4.423,0.887,5.322
0,0,2.202,6.005,1.368,8.208
0.002,0.083,0.743,4.48,5.223,5.088015284
0.001,0.08,0.836,4.448,0.881,5.286
0,0,2.257,6.001,1.376,8.256
0,0.073,0.744,4.481,5.224,5.087693882
0.001,0.085,0.825,4.418,0.874,5.244
0,0,1.808,5.993,1.3,7.8
0,0.062,0.753,4.551,5.303,5.086342931
0,0.084,0.887,4.426,0.886,5.316
0,0,1.861,5.983,1.307,7.842
0,0.08,0.756,4.312,5.068,5.086428156
0.001,0.088,0.832,4.4,0.872,5.232
0,0,1.944,6.005,1.325,7.95
0,0.075,0.762,4.342,5.103,5.085666451
0,0.08,0.915,4.46,0.896,5.376
0,0,1.787,6.017,1.301,7.806
0,0.087,0.784,4.423,5.207,5.085154532
0,0.085,0.91,4.403,0.885,5.31
0,0,1.885,5.978,1.31,7.86
0,0.077,0.725,4.074,4.799,5.087320564
0,0.082,0.797,4.444,0.873,5.238
0,0,1.714,5.991,1.284,7.704
0,0.055,0.751,4.833,5.585,5.086258286
0.001,0.082,0.86,4.404,0.877,5.262
0,0,2.068,5.99,1.343,8.058
0,0.07,0.756,4.208,4.964,5.085251891
0,0.088,0.877,4.427,0.884,5.304
0,0,1.51,5.998,1.251,7.506
0,0.075,0.796,4.521,5.317,5.085947662
0.001,0.08,0.866,4.455,0.887,5.322
0,0,2.106,5.985,1.349,8.094
0,0.083,0.734,4.343,5.077,5.084896605
0,0.083,0.869,4.421,0.882,5.292
0,0,2.197,6.004,1.367,8.202
0,0.08,0.8,4.518,5.318,5.085490871
0,0.08,0.864,4.416,0.88,5.28
0,0,1.797,6.004,1.3,7.8
0.003,0.072,0.727,4.539,5.266,5.085253541
0.001,0.082,0.864,4.445,0.885,5.31
0,0,2.038,6.021,1.343,8.058
0,0.097,0.729,4.308,5.037,5.086302909
0.001,0.089,0.809,4.43,0.873,5.238
0,0,1.768,6.015,1.297,7.782
0,0.09,0.762,4.384,5.145,5.085436235
0,0.082,0.956,4.424,0.897,5.382
0,0,2.173,6.006,1.363,8.178
0,0.082,0.726,4.656,5.382,5.086328572
0,0.081,0.87,4.467,0.89,5.34
0,0,1.25,5.997,1.208,7.248
0,0.083,0.759,4.493,5.252,5.084869297
0,0.078,0.894,4.436,0.888,5.328
0,0,1.8,6.028,1.305,7.83
0.002,0.077,0.782,4.413,5.195,5.086674245
0.001,0.082,0.834,4.443,0.88,5.28
0,0,2.263,6.012,1.379,8.274
0,0.073,0.792,4.555,5.347,5.08613874
0,0.081,0.836,4.429,0.878,5.268
0,0,1.876,5.996,1.312,7.872
0,0.067,0.776,4.243,5.019,5.084842666
0,0.082,0.906,4.445,0.892,5.352
0,0,2.376,6.019,1.399,8.394
0.002,0.068,0.721,4.071,4.791,5.086205656
0.001,0.084,0.938,4.373,0.885,5.31
0,0,1.699,6,1.283,7.698
0.003,0.085,0.725,4.292,5.017,5.086962142
0.001,0.084,0.854,4.452,0.884,5.304
0,0,1.91,6.017,1.321,7.926
0,0.093,0.724,4.218,4.942,5.084438924
0,0.083,0.826,4.429,0.876,5.256
0,0,1.71,6.032,1.29,7.74
0,0.08,0.744,4.148,4.892,5.086202251
0,0.084,0.85,4.39,0.873,5.238
0,0,1.87,6.014,1.314,7.884
0,0.093,0.815,4.481,5.296,5.084579723
0,0.08,0.825,4.46,0.881,5.286
0,0,1.901,6.012,1.319,7.914
0,0.09,0.74,4.231,4.971,5.084677566
0.001,0.084,0.83,4.407,0.873,5.238
0,0,1.869,6.006,1.312,7.872
0,0.072,0.784,4.328,5.112,5.087317139
0,0.083,0.922,4.385,0.885,5.31
0,0,2.765,5.98,1.458,8.748
0,0.08,0.764,4.116,4.88,5.084857918
0,0.079,0.892,4.454,0.891,5.346
0,0,1.906,5.995,1.317,7.902
0,0.08,0.735,4.286,5.021,5.086131831
0.001,0.084,0.819,4.434,0.876,5.256
0,0,1.642,6.005,1.275,7.65
0,0.083,0.759,4.122,4.881,5.086285947
0,0.083,0.857,4.41,0.878,5.268
0,0,1.741,6.016,1.293,7.758
0,0.09,0.76,4.085,4.845,5.084149118
0.001,0.083,0.84,4.429,0.878,5.268
0,0,1.509,6.013,1.254,7.524
0,0.075,0.741,4.567,5.308,5.08585741
0.001,0.082,0.828,4.454,0.88,5.28
0,0,1.977,6.013,1.332,7.992
0,0.083,0.78,4.2,4.98,5.086822135
0,0.083,0.898,4.436,0.889,5.334
0,0,2.569,5.999,1.428,8.568
0,0.112,0.717,4.164,4.881,5.08427787
0.001,0.084,0.903,4.447,0.892,5.352
0,0,1.787,6.001,1.298,7.788
0,0.092,0.74,4.293,5.032,5.085898834
0,0.084,0.919,4.411,0.888,5.328
0,0,1.794,6,1.299,7.794
0,0.07,0.775,4.616,5.391,5.085645246
0,0.085,0.886,4.398,0.881,5.286
0,0,2.358,6.007,1.394,8.364
0,0.08,0.751,4.204,4.955,5.083240376
0.001,0.083,0.882,4.37,0.875,5.25
0,0,1.835,6.014,1.308,7.848
0,0.075,0.783,4.152,4.935,5.084546025
0,0.082,0.845,4.422,0.878,5.268
0,0,2.34,5.991,1.389,8.334
